"","Plot_ID","Veg_type","Depth","Transect.x","Moist_grad","avg_daily_temp"
"1","21-01","W1",-40,"T8","wet tundra",-6.5451
"2","21-01","W1",-24,"T8","wet tundra",-6.2197
"3","21-01","W1",-15,"T8","wet tundra",-5.7966
"4","21-01","W1",0,"T8","wet tundra",-5.1741
"5","21-02","W1",-40,"T8","wet tundra",-6.3444
"6","21-02","W1",-25,"T8","wet tundra",-5.7971
"7","21-02","W1",-15,"T8","wet tundra",-5.6657
"8","21-02","W1",0,"T8","wet tundra",-4.9078
"9","21-03","W2",-40,"T8","wet tundra",-6.5931
"10","21-03","W2",-25,"T8","wet tundra",-6.2682
"11","21-03","W2",-15,"T8","wet tundra",-5.7343
"12","21-03","W2",0,"T8","wet tundra",-5.5296
"13","21-04","W2",-40,"T8","wet tundra",-6.2691
"14","21-04","W2",-21,"T8","wet tundra",-5.7215
"15","21-04","W2",-15,"T8","wet tundra",-5.7664
"16","21-04","W2",0,"T8","wet tundra",-5.6468
"17","21-05","M1",-40,"T6","moist tundra",-6.624
"18","21-05","M1",-15,"T6","moist tundra",-6.2199
"19","21-05","M1",-10,"T6","moist tundra",-6.1937
"20","21-05","M1",0,"T6","moist tundra",-5.8128
"21","21-06","M1",-10,"T6","moist tundra",-6.7847
"22","21-06","M1",0,"T6","moist tundra",-6.6922
"23","21-07","M3",-12,"T6","moist tundra",-5.9757
"24","21-07","M3",0,"T6","moist tundra",-5.0394
"25","21-08","M3t",-20,"T6","moist tundra",-6.2145
"26","21-08","M3t",0,"T6","moist tundra",-4.6867
"27","21-09","M3t",-40,"T6","moist tundra",-6.2456
"28","21-09","M3t",-15,"T6","moist tundra",-5.6191
"29","21-09","M3t",-14,"T6","moist tundra",-5.9769
"30","21-09","M3t",0,"T6","moist tundra",-4.9406
"31","21-10","M1",-19,"T6","moist tundra",-6.0755
"32","21-10","M1",0,"T6","moist tundra",-5.4271
"33","21-11","M3t",-40,"T6","moist tundra",-5.4659
"34","21-11","M3t",-17,"T6","moist tundra",-4.5352
"35","21-11","M3t",-15,"T6","moist tundra",-4.7179
"36","21-11","M3t",0,"T6","moist tundra",-4.3192
"37","21-12","W1",-11,"T6","wet tundra",-3.8538
"38","21-12","W1",0,"T6","wet tundra",-3.4407
"39","21-14","W1",-19,"T6","wet tundra",-4.6874
"40","21-14","W1",0,"T6","wet tundra",-3.4468
"41","21-15","M3t",-20,"T6","moist tundra",-4.8909
"42","21-15","M3t",0,"T6","moist tundra",-3.9267
"43","21-16","W1",-40,"T6","wet tundra",-5.8221
"44","21-16","W1",-23,"T6","wet tundra",-4.5049
"45","21-16","W1",-15,"T6","wet tundra",-5.0814
"46","21-16","W1",0,"T6","wet tundra",-4.8625
"47","21-17","M3",-40,"T8","moist tundra",-6.6716
"48","21-17","M3",-23,"T8","moist tundra",-5.9796
"49","21-17","M3",-15,"T8","moist tundra",-5.9669
"50","21-17","M3",0,"T8","moist tundra",-5.0445
"51","21-18","M3",-20,"T8","moist tundra",-5.423
"52","21-18","M3",0,"T8","moist tundra",-4.7181
"53","21-19","W2",-19,"T9","wet tundra",-5.3592
"54","21-20","M1",-19,"T9","moist tundra",-6.6025
"55","21-20","M1",0,"T9","moist tundra",-5.8959
"56","21-21","M1",-40,"T9","moist tundra",-7.6385
"57","21-21","M1",-20,"T9","moist tundra",-7.3697
"58","21-21","M1",-15,"T9","moist tundra",-6.8441
"59","21-21","M1",0,"T9","moist tundra",-6.554
"60","21-22","M1",-23,"T9","moist tundra",-5.7446
"61","21-22","M1",0,"T9","moist tundra",-5.5152
"62","21-23","W1",-40,"T9","wet tundra",-5.9593
"63","21-23","W1",-20,"T9","wet tundra",-5.606
"64","21-23","W1",0,"T9","wet tundra",-4.6604
"65","21-24","M1",-26,"T9","moist tundra",-6.046
"66","21-24","M1",0,"T9","moist tundra",-5.6045
"67","21-25","L2",-20,"T7","aquatic",-6.2312
"68","21-25","L2",0,"T7","aquatic",-5.0866
"69","21-26","L2",-20,"T7","aquatic",-5.8428
"70","21-27","W1",-26,"T7","wet tundra",-5.0037
"71","21-27","W1",0,"T7","wet tundra",-4.0786
"72","21-28","W2",-40,"T7","wet tundra",-5.2192
"73","21-28","W2",-15,"T7","wet tundra",-4.8051
"74","21-28","W2",0,"T7","wet tundra",-4.4904
"75","21-29","W1",-40,"T7","wet tundra",-6.4525
"76","21-29","W1",-15,"T7","wet tundra",-5.5321
"77","21-29","W1",0,"T7","wet tundra",-4.9191
"78","21-31","A1t",-15,"T7","aquatic",-6.0324
"79","21-31","A1t",0,"T7","aquatic",-5.4096
"80","21-34","M3",-40,"T7","moist tundra",-6.8946
"81","21-34","M3",-15,"T7","moist tundra",-6.1703
"82","21-34","M3",0,"T7","moist tundra",-5.5365
"83","21-35","A1t",-40,"T7","aquatic",-6.2963
"84","21-35","A1t",-15,"T7","aquatic",-5.3787
"85","21-35","A1t",0,"T7","aquatic",-5.0576
"86","21A-02","A3t",-40,"T6","aquatic",-4.6495
"87","21A-02","A3t",-15,"T6","aquatic",-3.9012
"88","21A-02","A3t",0,"JS","aquatic",-3.027
"89","21A-02","A3t",0,"T6","aquatic",-3.037
"90","21A-03","A4t",-40,"T6","aquatic",-5.2831
"91","21A-03","A4t",-15,"T6","aquatic",-4.0203
"92","21A-03","A4t",0,"JS","aquatic",-3.2896
"93","21A-04","A3t",0,"JS","aquatic",-2.6393
"94","21A-09","A3t",0,"JS","aquatic",-3.7815
"95","21A-13","A4t",0,"JS","aquatic",-2.3675
"96","21A-14","L3",-40,"T6","aquatic",-3.4738
"97","21A-14","L3",0,"JS","aquatic",-2.0186
"98","21A-15","A3t",-40,"T6","aquatic",-2.8895
"99","21A-15","A3t",-15,"T6","aquatic",-2.5081
"100","21A-15","A3t",0,"JS","aquatic",-1.6352
"101","21A-15","A3t",0,"T6","aquatic",-1.7049
"102","21A-16","L3",0,"JS","aquatic",-1.8373
"103","21A-18","A3t",-40,"T6","aquatic",-4.2583
"104","21A-18","A3t",-15,"T6","aquatic",-3.1978
"105","21A-18","A3t",0,"JS","aquatic",-2.7704
"106","21A-18","A3t",0,"T6","aquatic",-2.64
"107","21A-19","L3",0,"JS","aquatic",-2.6336
"108","21A-24","L3",0,"T6","aquatic",-1.0418
"109","21A-26","A3t",-40,"T6","aquatic",-5.3355
"110","21A-26","A3t",-15,"T6","aquatic",-4.6287
"111","21A-26","A3t",0,"T6","aquatic",-4.1106
"112","21A-27","L3",-40,"T6","aquatic",-4.5255
"113","21A-27","L3",0,"T6","aquatic",-3.0008
"114","21A-28","A4t",-40,"T6","aquatic",-4.8267
"115","21A-28","A4t",-15,"T6","aquatic",-4.2542
"116","21A-28","A4t",0,"T6","aquatic",-3.3118
"117","21A-34","A3t",0,"T6","aquatic",-3.1969
"118","21A-35","L3",0,"T6","aquatic",-2.2926
"119","21A-37","A3t",0,"T6","aquatic",-2.9585
"120","22-01","D1",-40,"Pingo","dry tundra",-8.1569
"121","22-01","D1",-15,"Pingo","dry tundra",-7.9804
"122","22-01","D1",0,"Pingo","dry tundra",-7.4696
"123","22-02","D1",-40,"Pingo","dry tundra",-7.6615
"124","22-02","D1",-15,"Pingo","dry tundra",-7.7186
"125","22-02","D1",0,"Pingo","dry tundra",-7.4123
"126","22-04","D2",-40,"Pingo","dry tundra",-5.4507
"127","22-04","D2",-15,"Pingo","dry tundra",-4.6931
"128","22-04","D2",0,"Pingo","dry tundra",-4.3667
"129","22-05","D2",-40,"Pingo","dry tundra",-6.874
"130","22-05","D2",-15,"Pingo","dry tundra",-6.8201
"131","22-05","D2",0,"Pingo","dry tundra",-6.1703
"132","22-08","A1",-40,"Lakes","aquatic",-6.2564
"133","22-08","A1",-15,"Lakes","aquatic",-5.7074
"134","22-08","A1",0,"Lakes","aquatic",-4.838
"135","22-09","A1",-40,"Lakes","aquatic",-5.9792
"136","22-09","A1",0,"Lakes","aquatic",-4.1397
"137","22-11","A2",-40,"Lakes","aquatic",-5.9412
"138","22-12","A2",-40,"Lakes","aquatic",-5.9755
"139","22-12","A2",-15,"Lakes","aquatic",-5.7887
"140","22-12","A2",0,"Lakes","aquatic",-4.8037
"141","22-13","Dz",-40,"Pingo","dry tundra",-8.0444
"142","22-13","Dz",-15,"Pingo","dry tundra",-8.4051
"143","22-13","Dz",0,"Pingo","dry tundra",-7.3877
"144","22-13","Dz",100,"Pingo","dry tundra",-8.5816
"145","22-14","Dsn",-40,"Pingo","dry tundra",-5.9475
"146","22-14","Dsn",-15,"Pingo","dry tundra",-6.0561
"147","22-14","Dsn",0,"Pingo","dry tundra",-5.2301
"148","22-15","Mz",-40,"T8","moist tundra",-7.6765
"149","22-15","Mz",-15,"T8","moist tundra",-7.0468
"150","22-15","Mz",0,"T8","moist tundra",-7.9336
